id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,Fiction
PG82,Ivanhoe: A Romance,"Scott, Walter",1771.0,1832.0,['en'],1567.0,"{'Normans -- Great Britain -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction', 'Love stories', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Knights and knighthood -- Fiction', 'Jews -- England -- Fiction', 'Anglo-Saxons -- Fiction', 'Historical fiction'}",Text,1
PG83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",1828.0,1905.0,['en'],483.0,"{'Space ships -- Fiction', 'Science fiction', 'Space flight to the moon -- Fiction', 'Manned space flight -- Fiction', 'Moon -- Fiction'}",Text,1
PG84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",1797.0,1851.0,['en'],9294.0,"{'Scientists -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction"", 'Science fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', 'Horror tales', 'Monsters -- Fiction', 'Gothic fiction (Literary genre)'}",Text,1
PG85,The Beasts of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],326.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories', 'Jungle animals -- Fiction'}",Text,1
PG86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",1835.0,1910.0,['en'],1660.0,"{'Satire', 'Britons -- Fiction', 'Arthurian romances -- Adaptations', 'Knights and knighthood -- Fiction', 'Kings and rulers -- Fiction', 'Fantasy fiction', 'Time travel -- Fiction', 'Americans -- Great Britain -- Fiction'}",Text,1
PG90,The Son of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],297.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'}",Text,1
PG91,Tom Sawyer Abroad,"Twain, Mark",1835.0,1910.0,['en'],167.0,"{'Americans -- Foreign countries -- Fiction', 'Balloon ascensions -- Fiction', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Adventure stories'}",Text,1
PG92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],220.0,"{'Tarzan (Fictitious character) -- Fiction', 'Fantasy fiction', 'Adventure stories'}",Text,1
PG93,"Tom Sawyer, Detective","Twain, Mark",1835.0,1910.0,['en'],116.0,"{'Sawyer, Tom (Fictitious character) -- Fiction', 'Mystery fiction'}",Text,1
PG94,Alexander's Bridge,"Cather, Willa",1873.0,1947.0,['en'],78.0,"{'Mistresses -- Fiction', 'Married people -- Fiction', 'London (England) -- Fiction', 'Bridges -- Design and construction -- Fiction', 'Psychological fiction', 'Civil engineers -- Fiction', 'Boston (Mass.) -- Fiction'}",Text,1
PG95,The Prisoner of Zenda,"Hope, Anthony",1863.0,1933.0,['en'],410.0,"{'Impostors and imposture -- Fiction', 'British -- Foreign countries -- Fiction', 'Adventure stories'}",Text,1
PG98,A Tale of Two Cities,"Dickens, Charles",1812.0,1870.0,['en'],11283.0,"{'French -- England -- London -- Fiction', 'Lookalikes -- Fiction', 'Paris (France) -- History -- 1789-1799 -- Fiction', 'Executions and executioners -- Fiction', 'London (England) -- History -- 18th century -- Fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'British -- France -- Paris -- Fiction', 'War stories', 'Historical fiction'}",Text,1
PG102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835.0,1910.0,['en'],677.0,"{'Trials (Murder) -- Fiction', 'Impostors and imposture -- Fiction', 'Missouri -- Fiction', 'Legal stories', 'Passing (Identity) -- Fiction', 'Race relations -- Fiction', 'Infants switched at birth -- Fiction'}",Text,1
PG103,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,['en'],2015.0,"{'Voyages around the world -- Fiction', 'Adventure stories'}",Text,1
PG105,Persuasion,"Austen, Jane",1775.0,1817.0,['en'],2778.0,"{'Regency fiction', 'Ship captains -- Fiction', 'Psychological fiction', 'Love stories', 'Rejection (Psychology) -- Fiction', 'First loves -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Young women -- Fiction', 'Motherless families -- Fiction', 'Dysfunctional families -- Fiction'}",Text,1
PG106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",1875.0,1950.0,['en'],225.0,"{'Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'Adventure stories', 'Apes -- Fiction', 'Fantasy fiction', 'Jungles -- Fiction'}",Text,1
PG107,Far from the Madding Crowd,"Hardy, Thomas",1840.0,1928.0,['en'],555.0,"{'Love stories', 'Wessex (England) -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Farm life -- Fiction', 'Women farmers -- Fiction', 'Didactic fiction', 'Pastoral fiction'}",Text,1
PG108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,['en'],1314.0,"{'Detective and mystery stories, English', 'Holmes, Sherlock (Fictitious character) -- Fiction'}",Text,1
PG110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",1840.0,1928.0,['en'],1000.0,"{'Women household employees -- Fiction', 'Wessex (England) -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Rape victims -- Fiction', 'Man-woman relationships -- Fiction', 'Women murderers -- Fiction', 'Poor families -- Fiction', 'Didactic fiction', 'Pastoral fiction', 'Children of the rich -- Fiction', 'Children of clergy -- Fiction'}",Text,1
